,"Textiles, industries de l'habillement, industrie du cuir et de la chaussure 001562874",Textiles 001563047,Préparation de fibres textiles et filature 001563401,Tissage 001563404,Ennoblissement textile 001563407,Autres textiles 001563410,Industrie de l'habillement 001563050,"Vêtements, autres qu'en fourrure 001563413",Articles à mailles 001563416,Industrie automobile 001562965,Construction de véhicules automobiles 001562980,Carrosseries et remorques 001562983,Equipements automobiles 001562986,Autres matériels de transport 001562967,Navale 001562989,Locomotives et autre matériel ferroviaire roulant 001562992,Aéronautique et spatiale 001563059,Matériels de transport n.c.a. 001563062,"Produits informatiques, électroniques et optiques 001562888",Composants et cartes électroniques 001562745,Ordinateurs et d'équipements périphériques 001562748,Equipements de communication 001562751,Produits électroniques grand public 001562814,"Instruments et d'appareils de mesure, d'essai et de navigation - horlogerie 001562817","Equipements d'irradiation médicale, d'équipements électro médicaux et électro thérapeutiques",Matériels optique et photographique 001562823,Equipements électriques 001562890,"Moteurs, génératrices et transformateurs électriques etmatériel de distribution et de commande électrique",Piles et accumulateurs électriques 001562829,Fils et câbles et matériel d'installation électrique 001562892,Appareils d'éclairage électrique 001562895,Appareils ménagers 001562898,Autres matériels électriques 001562901,Machines et équipements n.c.a. 001562953,Machines d'usage général 001562904,Autres machines d'usage général 001562907,Machines agricoles et forestières 001562910,Machines de formage des métaux et machines-outils 001562974,Autres machines d'usage spécifique 001562977,Industries alimentaires 001563038,Transformation et conservation de la viande et préparation de produits à base de viande  001563291,Transformation et conservation de fruits et légumes 001563294,Fabrication d'huiles et graisses végétales et animales 001563297,Fabrication de produits laitiers 001563340,Travail des grains - fabrication de produits amylacés 001563343,Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires 001563346,Fabrication d'autres produits alimentaires001563349,Fabrication d'aliments pour animaux 001563352,Fabrication de boissons 001563041,Fabrication de produits à base de tabac 001563044
1990-01-31,376.211975939,178.188188709,281.773210522,178.201497756,256.518012432,153.14829358,786.579750266,1002.569437648,323.788840189,56.170121762,69.438580105,66.93735733,45.046520416,85.371914565,109.748469575,63.713499712,77.03087289,158.783735279,68.743918138,32.047401233,28.34353827,84.764234703,39.157138195,124.485465091,55.801952797,54.510583258,99.22060856,111.444466662,89.072395373,88.218265507,70.646128859,99.030344987,76.667875483,90.940348929,80.820537445,72.891026257,99.464739117,179.623486695,125.865248509,87.857380028,86.731264413,82.786474365,100.878173378,82.39700684,72.057529859,106.016948086,90.698398646,89.117351659,97.550568266,199.630862084
1990-02-28,377.529225154,180.798306378,278.654890441,178.146042015,258.306195136,157.116542662,785.538950297,1007.684280439,323.649150336,55.992315395,68.460740731,66.788263392,44.651614827,85.480410772,109.814094832,65.031620799,76.402547861,158.466837706,73.081653951,31.598768614,28.207339513,95.809467565,42.680465847,133.394951924,58.606388942,54.003049344,97.127668731,107.5039017,85.56785697,85.978935381,70.755234217,103.382614786,77.258254563,91.271887749,80.969518532,73.818395004,108.056106369,184.877549729,126.068147219,88.942772271,87.893427724,83.354027008,101.806735246,83.546967347,72.538972028,107.27221191,91.797273656,89.934298314,99.162760457,204.27944761
1990-03-31,369.081683336,172.360690112,269.353232064,175.241844963,253.201176146,146.849601108,773.158112868,981.922984905,327.481297934,55.520971067,70.217992617,66.300777791,43.914483325,83.431386386,109.883352398,71.939188555,73.388806323,156.918618561,67.802991772,31.573101137,29.146111248,82.767016556,40.268752407,125.362938266,57.069836584,54.023194238,97.137691062,108.299611319,93.958878288,86.002575443,70.600861287,103.756627761,75.970420533,90.55183138,81.18978516,72.289594828,99.992257,180.024942135,125.325486501,89.554276745,88.835988809,83.572043016,104.771461572,85.181437502,73.851308519,108.585771493,92.972260775,90.03789411,93.637540619,209.04649686
1990-04-30,377.703111794,177.277456045,263.184063507,170.153031728,253.875535904,157.254176024,789.336516306,999.888745434,325.677650941,54.76854798,68.328568416,64.717554247,43.607595386,88.083277112,114.696360449,59.738682342,78.255579374,160.004126953,67.640485799,31.275394707,35.73181377,80.212445238,42.17504066,123.376053268,57.79795031,54.651405473,98.21389941,110.369495407,90.34498708,86.652518906,68.582433124,102.774153767,72.082595014,89.217868916,83.185372194,73.037034495,95.499337446,181.51321723,117.209733572,89.621063021,91.487911678,83.529524737,92.457104233,84.762721477,73.719793115,108.683655007,93.510300302,90.147703156,92.952960053,204.872849473
1990-05-31,376.939492187,177.328561118,267.712707111,171.04172221,262.938305905,154.240036494,784.333547258,973.364845761,345.785520447,54.103670785,66.831518082,63.28560746,42.944222914,82.909676773,111.553779203,65.139199583,72.945340184,159.42081126,70.090389045,31.319764343,35.020709659,88.204279247,44.778454881,126.428447585,53.006936705,54.373288175,101.125121116,114.190645061,91.494417432,90.703619575,71.379240199,105.06355935,69.613703308,87.801019295,81.487291986,71.901666864,93.103807575,180.740196706,114.473704445,91.092545883,92.287434774,84.492048074,103.147892859,84.892259506,74.779141732,110.538524187,95.191404961,90.27028187,97.521488357,212.011723249
1990-06-30,369.696394458,171.632968112,261.894065829,167.619529739,245.284214445,151.01755456,778.799156074,974.247506156,335.830720623,53.179873812,63.962805511,63.031469132,42.719796255,86.283320298,112.130790081,61.41829145,76.81192024,155.883725351,62.433106139,30.768188044,36.791295887,71.406235381,43.387955463,115.151660231,53.801440812,54.133353869,98.668044269,111.274180121,93.879430722,86.865386868,67.997745977,99.866521348,71.068146567,87.754559153,81.143449731,72.502365205,90.668733915,188.260552934,114.763364902,89.056690885,89.561808588,84.576779062,99.789978594,84.130241616,75.259371679,108.181667672,93.507604079,87.384914395,94.607724914,191.229701002
1990-07-31,367.796081468,170.30905099,255.010908595,167.753963071,242.827226791,149.111088476,761.276965959,964.725830043,324.4595285,52.684513812,65.980534346,62.656530474,41.726036211,87.546280655,112.29324961,51.943562197,79.079576156,153.05353648,67.088434319,30.009154556,31.676452222,81.611388891,42.292878249,121.713406878,53.120671054,54.710716158,99.75184427,112.081860756,94.074515318,88.87439679,66.615299006,106.26787008,80.566536965,87.799771647,79.389146466,72.111090995,92.568469171,176.779411515,119.255803872,89.544946915,90.509924831,85.278658348,101.134850742,85.477637658,75.920093215,110.335752894,94.613620587,79.860342303,91.342976733,208.040390253
1990-08-31,358.68678977,162.158173207,248.806046339,166.847885116,235.079863822,129.172514864,744.670946961,933.877436004,318.666216199,51.066751602,62.346853131,48.511017461,41.427407824,85.477839234,110.610991679,78.442854103,75.218259446,155.875552862,65.970564278,29.560945545,32.171046175,82.007794162,42.462933403,120.066927496,77.259732082,54.87477858,98.282743489,109.674088082,93.074991495,86.367554306,65.424959197,105.266174577,79.357434425,88.317561828,78.50070698,73.246845307,113.886428846,175.622266612,122.401277725,89.280641972,91.199703686,85.619223579,99.484982351,83.00531302,76.160793525,107.239123402,92.312492673,89.371239402,93.766442292,210.92101319
1990-09-30,364.335449887,171.665522641,248.692128145,167.631754058,237.022937977,153.223763075,753.202900387,957.678624226,319.053394247,51.061236541,61.116306663,62.925163601,41.37412605,88.199707855,114.407239984,75.716035323,77.897454777,152.823422038,67.640428333,30.283824505,33.899109869,81.346380905,40.88281788,122.406210119,76.586916824,55.019149736,101.090987939,113.996947498,95.107437051,87.190728641,69.371148576,109.837441482,79.034934656,87.445466751,78.32609855,73.145280747,96.360059098,166.963445731,120.05753748,90.375168391,90.11305408,86.268901868,95.977516898,82.629380846,76.045400284,112.42334514,94.534141544,90.693646266,87.071640479,199.406179458
1990-10-31,361.633511002,175.67912423,249.125950146,168.411393659,249.237882436,157.851191265,734.899270564,920.253113108,330.062955961,51.453022275,61.549688166,64.89935746,41.106522399,88.709214184,113.823546738,76.447705758,79.195216158,163.055080515,66.459020212,29.277095553,30.802233748,80.703261149,43.675848183,119.141349615,77.126288164,51.748846925,99.994948836,112.911937914,95.068739639,85.838772527,67.827363697,111.505284206,84.388176436,87.029642162,81.859753112,71.392397727,96.011313036,184.137467378,112.90707073,91.00581711,90.492349894,86.738403101,103.846663329,83.914133784,77.04406379,111.554497578,94.637832216,89.980602934,87.885294976,199.213581693
1990-11-30,357.853263429,173.476609552,242.710495823,166.550161606,243.096201195,156.113985864,728.868124445,927.509813645,328.981269711,51.305810082,61.69635153,64.685751179,40.904537131,88.111476894,113.658488116,69.728022943,79.324756146,160.966872901,63.682994826,29.016687809,30.151599069,77.133243016,44.307569927,115.672326061,71.475212232,51.306596962,101.174646312,112.049592964,97.720245631,86.948814022,64.686039232,117.009636675,81.415199398,86.363055715,82.164405857,71.073948434,87.311041407,178.506329927,111.823819059,90.359063541,90.571052252,87.136989967,101.272989918,83.46076156,77.718898094,107.406064013,91.098266331,92.746959196,86.540130051,199.593849843
