,"Textiles, industries de l'habillement, industrie du cuir et de la chaussure 001562874",Textiles 001563047,Préparation de fibres textiles et filature 001563401,Tissage 001563404,Ennoblissement textile 001563407,Autres textiles 001563410,Industrie de l'habillement 001563050,"Vêtements, autres qu'en fourrure 001563413",Articles à mailles 001563416,Industrie automobile 001562965,Construction de véhicules automobiles 001562980,Carrosseries et remorques 001562983,Equipements automobiles 001562986,Autres matériels de transport 001562967,Navale 001562989,Locomotives et autre matériel ferroviaire roulant 001562992,Aéronautique et spatiale 001563059,Matériels de transport n.c.a. 001563062,"Produits informatiques, électroniques et optiques 001562888",Composants et cartes électroniques 001562745,Ordinateurs et d'équipements périphériques 001562748,Equipements de communication 001562751,Produits électroniques grand public 001562814,"Instruments et d'appareils de mesure, d'essai et de navigation - horlogerie 001562817","Equipements d'irradiation médicale, d'équipements électro médicaux et électro thérapeutiques",Matériels optique et photographique 001562823,Equipements électriques 001562890,"Moteurs, génératrices et transformateurs électriques etmatériel de distribution et de commande électrique",Piles et accumulateurs électriques 001562829,Fils et câbles et matériel d'installation électrique 001562892,Appareils d'éclairage électrique 001562895,Appareils ménagers 001562898,Autres matériels électriques 001562901,Machines et équipements n.c.a. 001562953,Machines d'usage général 001562904,Autres machines d'usage général 001562907,Machines agricoles et forestières 001562910,Machines de formage des métaux et machines-outils 001562974,Autres machines d'usage spécifique 001562977,Industries alimentaires 001563038,Transformation et conservation de la viande et préparation de produits à base de viande  001563291,Transformation et conservation de fruits et légumes 001563294,Fabrication d'huiles et graisses végétales et animales 001563297,Fabrication de produits laitiers 001563340,Travail des grains - fabrication de produits amylacés 001563343,Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires 001563346,Fabrication d'autres produits alimentaires001563349,Fabrication d'aliments pour animaux 001563352,Fabrication de boissons 001563041,Fabrication de produits à base de tabac 001563044
1990-01-31,405.734597932,186.947838258,309.256666502,188.118539332,264.35769011,158.677691915,859.792359486,1078.035194105,374.66893844,58.474212255,72.088808538,69.516807611,45.29134655,106.631937239,131.215049976,109.6,99.927070647,98.6,44.247437445,30.435805801,26.866425105,48.6,39.3,69.3205836,19.1,46.2,96.236347277,115.866720811,108.081036837,74.563402856,55.478771946,95.976310638,67.2,81.575609668,78.133047185,61.809676669,104.864626295,138.2,112.155243376,72.512182148,87.99173409,37.49210024,109.8,82.578539974,70.873606556,92.940135993,64.887004432,97.886515943,82.096015739,229.801552514
1990-02-28,407.4,185.707970408,296,184,263.7,158.586688202,867.1,1104.3,344.9,56.6,67.3,73.5,45.9,102.1,125.6,65.1,95.8,178.9,57.6,28.7,21,77.8,39.1,101.1,33.3,42.7,92.89681022,107.578627171,69.4,82.6,54.1,93.5,77.7,86.8,80.4,64.732663842,114.1,173.7,123.4,71.196357202,81.1,33.9,102.2,80.772145026,67.132733756,116.4,72.1,89.785126449,76.3,224.6
1990-03-31,412.908153052,186.782364444,313.997390438,198.881800402,286.252868709,150.870068083,870.343072981,1120.068331976,321.22525928,63.131531972,76.932901611,78.00074376,49.611627027,109.617244357,140.639065872,74.6,100.625450963,190.4,65.642897353,32.5644949,38.986206288,84,45.7,107.20100487,75.1,56.8,102.488061641,123.343816044,119.833408815,82.858401859,68.487726199,90.128158155,83.1,99.666887219,89.106991725,75.699624398,125.816264236,177.8,145.767902757,77.679931313,91.84656906,32.744605139,111.5,94.944616396,75.832076274,118.393739456,77.85952777,96.972871724,84.12017582,249.255980172
1990-04-30,380.050978311,189.769541922,286.350965352,184.057994187,283.737789255,163.047284811,762.998868897,934.162334052,388.751685741,60.73971376,73.64122603,74.473519591,48.479471226,86.686116573,91.857637356,53.5,81.732331777,226.4,60.44474383,28.770604648,21.099226551,74.7,45.2,109.519960524,38,72.9,92.78683458,105.737290557,66.410643761,78.058883029,59.185351833,111.51363954,56.6,88.946059449,89.665933306,70.779078556,112.850154564,151.7,110.307073778,75.109077917,93.153156361,27.713099257,95.2,94.424457752,70.945676763,113.716780274,77.169109871,90.41625912,90.55011279,220.198069602
1990-05-31,348.405747241,181.82867681,274.556220451,174.180171468,267.873344652,158.579256623,695.11558097,858.757072419,330.756336767,56.217657084,69.388808538,60.75335736,43.602853367,67.341342582,100.594933602,101.2,46.99009566,197.4,63.609532789,30.929893558,31.636126113,81,48.5,108.946392382,46.9,80.7,92.018036438,105.395657359,65.895842386,86.665316409,64.921967171,90.008364716,59,84.545595457,80.509717822,68.75458416,85.153960427,157.9,112.5508527,76.230755591,93.780663964,35.210834882,97.2,96.472085799,72.64544672,109.519173893,70.866018435,87.204455671,100.339574792,193.491751467
1990-06-30,392.246681829,193.308460167,295.621245516,185.063775576,275.648260958,170.136315598,795.616844028,1011.472320319,322.270688388,61.786324657,75.305595731,70.240924432,48.965999852,88.709129795,110.531992203,46.5,82.441286328,183.4,71.65490104,32.190886319,52.429219116,82,20.2,116.780952382,130.7,74.7,109.444570321,132.121069558,79.782400117,91.50656435,84.190406781,100.898107217,60.8,100.001501866,92.85239105,85.236081836,94.278591358,233,125.088422771,96.034487243,92.236895807,123.905668417,94,89.26851841,74.585722544,118.982383635,72.724815585,85.240917689,107.604394122,213.167219624
1990-07-31,394.189574638,159.816789944,208.89556095,150.689283529,196.775997486,151.297156846,894.597221261,1146.626859891,340.309936973,55.877312315,73.76853191,60.35533129,39.344511004,68.360204585,75.234878319,29.7,65.175566542,179,50.482768503,27.955366391,19.479423683,69.7,49.4,77.818503067,34.8,51.5,101.223063965,113.508426319,79.460475075,99.904339729,78.314662023,84.10623222,90.4,87.546592392,76.925133783,73.096198162,78.584919035,200.7,121.423160235,99.056966674,93.254950185,155.211431085,80.3,84.807823314,72.590517645,95.598676813,65.317722395,72.754776298,95.074894057,186.665257658
1990-08-31,210.599798587,67.238216709,105.772464449,68.110180557,95.703929187,57.387775674,488.110259625,634.051274453,164.940016039,19.622218878,14.488808538,15.557585839,23.042965789,63.040879486,52.50564827,44.9,66.780530139,96.3,45.436618089,24.605570275,16.850017676,70.2,25.5,71.877087392,41.7,30.8,71.220783,72.416700507,72.9102424,72.12350093,66.692566276,64.17987745,78.2,62.468701093,55.653704078,50.697824683,52.529410024,128.3,91.286851531,104.022199221,92.815842318,184.38575224,92.5,75.142557702,72.547011155,87.088710851,61.358406003,83.12585084,86.171704464,84.080785978
1990-09-30,396.338030752,192.871315195,274.630006464,185.123333252,275.056532019,171.961047768,806.117130226,1022.306809567,336.850987856,55.950300022,68.785319103,67.004604752,44.09633606,90.589717157,119.78758653,72.4,81.062911983,143.7,76.214431351,36.210807242,39.285034851,71.3,49.9,143.992392176,119.1,29.6,108.61726617,128.344015219,105.613649331,78.728962249,68.042213107,118.235105844,105.2,89.080417798,80.70322765,80.249895043,97.260289216,181.6,106.643846821,117.776068608,87.998675083,213.287687731,100.5,74.355180672,77.510443788,136.069202703,83.233148091,90.518365026,87.262013512,232.194253394
1990-10-31,396.376795843,212.740536322,296.280862313,206.011054108,297.854065325,190.275420889,768.327186518,934.15243019,398.231797874,58.376101161,69.688808538,74.637025735,46.979839733,90.016511638,143.973431799,66.3,73.409838241,170.7,78.806384072,28.261819673,22.000053765,96.3,75,161.354720125,40,60.7,109.577981558,113.713791877,134.261543932,89.105218335,73.873329312,161.819386132,77.7,96.22753956,92.195015119,79.767223181,102.145913762,202.8,119.474015871,111.850774892,91.754538508,105.037391943,124,81.110911894,86.426425773,121.612119184,186.03555047,94.196349667,103.44486144,242.033236155
