Germany (until 1990 former territory of the FRG),France,Italy,United Kingdom
72.7,105.8,116.3,107.4
80.0,107.5,131.6,114.1
88.5,119.9,143.4,125.7
76.3,104.5,117.7,106.5
87.5,109.4,139.3,114.0
80.2,114.3,139.0,115.7
80.0,104.6,134.5,107.2
78.7,81.5,73.7,109.2
86.7,111.8,135.1,113.5
86.7,117.9,139.3,118.1
91.2,116.2,138.5,122.4
81.2,112.1,116.3,109.3
81.0,112.1,127.4,113.8
80.6,108.4,130.4,110.0
90.3,121.9,144.0,122.3
79.9,107.9,119.8,107.7
84.8,107.1,139.0,112.3
82.3,116.9,135.2,110.7
81.1,109.0,137.8,107.8
78.7,84.9,70.0,107.7
82.6,110.7,128.2,109.0
86.7,119.8,139.7,117.8
87.1,114.3,130.4,117.3
74.0,107.6,110.9,105.9
78.0,110.7,121.5,110.6
76.9,106.6,126.6,107.6
82.2,117.4,134.1,115.0
84.1,111.4,120.5,112.0
78.0,103.8,137.8,113.4
83.3,115.0,128.4,103.4
83.9,110.5,141.9,109.4
75.9,81.1,65.5,102.8
85.2,111.9,132.2,110.3
87.5,119.0,139.2,117.1
87.0,110.9,130.4,114.2
76.1,107.4,114.7,107.0
78.4,110.5,120.4,108.9
79.5,107.6,125.1,106.9
85.0,116.3,133.4,115.3
81.9,110.3,122.6,107.8
80.3,99.9,128.0,107.1
79.8,111.2,125.7,107.9
85.2,108.1,142.2,109.8
71.7,76.3,63.0,100.3
86.1,113.3,132.9,111.6
88.7,120.2,139.4,117.7
86.7,108.7,129.6,111.6
80.0,111.8,114.9,109.8
77.5,108.1,115.6,107.9
80.2,108.1,127.3,107.6
92.9,122.5,140.0,122.5
84.5,111.4,126.4,110.1
81.5,103.2,131.5,106.7
88.9,121.6,130.6,111.6
85.5,108.2,137.8,106.3
78.2,80.2,67.2,101.5
90.6,117.8,134.1,111.6
89.2,116.8,132.1,111.5
91.5,113.1,130.4,116.6
84.5,115.2,118.0,109.7
79.8,110.8,111.4,105.4
81.6,108.3,123.1,107.1
90.1,118.8,132.9,115.7
89.6,112.2,124.3,109.8
82.9,108.0,132.6,109.2
94.2,120.6,128.2,111.8
85.7,104.2,132.9,105.4
81.8,82.3,68.5,104.2
94.7,118.9,134.2,110.8
90.4,113.0,131.2,110.6
96.6,115.9,132.6,116.5
88.9,114.4,112.2,108.2
86.2,112.6,116.1,108.7
86.2,107.6,126.5,107.3
99.9,124.4,143.9,121.2
85.4,107.4,115.2,104.8
94.2,110.7,139.5,111.0
93.5,121.7,135.2,111.6
90.3,106.2,136.0,104.8
88.9,84.3,72.6,105.5
97.1,116.9,135.6,110.6
96.9,118.5,140.8,114.7
102.9,116.2,136.3,117.5
90.9,110.8,112.4,105.0
92.3,113.6,125.4,111.9
91.9,110.2,130.6,107.7
104.5,123.5,144.5,118.4
92.8,109.2,121.6,107.2
96.9,109.1,142.5,113.0
99.6,121.8,136.9,108.8
98.5,113.3,143.5,107.1
93.7,87.5,76.8,104.9
99.9,113.9,134.9,106.8
107.2,124.4,147.0,117.4
107.9,117.6,136.0,117.3
91.2,109.7,108.6,106.1
97.7,115.3,128.6,111.7
99.9,115.1,136.8,111.3
98.8,117.9,134.6,111.9
108.1,118.7,136.2,111.9
96.1,106.0,135.3,108.0
104.1,117.8,132.2,106.6
101.8,112.5,144.3,107.1
89.1,79.6,66.3,99.0
105.3,115.5,133.7,108.8
103.2,116.7,135.9,112.4
95.5,101.3,119.1,103.9
84.1,102.9,95.8,101.0
76.5,96.4,97.1,97.2
76.3,93.7,102.3,95.4
86.3,102.0,107.8,104.8
77.4,93.9,99.3,98.7
77.5,88.0,102.7,95.2
83.3,102.7,104.8,99.3
83.8,96.3,117.6,98.8
74.1,71.1,55.9,87.9
91.4,103.7,112.4,99.0
90.4,103.5,114.9,102.2
90.6,99.8,111.4,102.2
82.0,98.9,92.5,98.4
77.7,96.3,94.4,96.2
81.7,96.7,105.6,97.5
97.8,111.2,119.2,111.2
88.5,100.0,108.7,100.3
87.7,95.0,113.8,98.1
95.0,108.9,116.2,101.4
90.8,99.4,123.7,98.7
85.6,75.3,66.2,95.2
99.3,106.3,119.1,103.3
98.6,104.4,116.1,103.6
102.3,104.6,116.8,108.1
95.5,106.8,103.1,103.1
88.6,103.5,98.9,99.1
94.0,103.6,111.4,97.7
107.9,115.7,122.9,111.9
93.7,100.2,110.4,97.6
103.6,107.6,121.4,100.4
95.0,105.7,116.2,103.5
96.6,99.2,120.0,97.1
94.6,78.4,70.9,95.8
103.9,107.1,117.0,102.3
98.5,105.1,111.8,101.4
105.9,106.5,112.9,105.2
95.5,102.9,94.6,97.3
92.5,103.6,97.0,97.8
97.3,104.6,107.6,99.1
107.3,110.5,114.4,107.0
93.3,100.0,97.2,95.3
97.4,94.9,114.5,100.4
98.8,105.0,108.1,97.2
98.5,101.0,116.9,98.1
94.2,78.5,67.5,94.6
97.1,100.1,105.0,93.4
102.2,106.2,112.4,99.9
103.0,103.5,104.5,101.0
87.2,95.9,85.2,92.8
91.6,101.9,96.9,96.2
91.9,99.9,98.9,93.5
99.6,106.7,103.3,101.3
100.0,103.0,96.9,97.3
93.1,95.6,109.6,98.3
98.6,102.1,102.5,95.5
100.0,102.4,116.1,98.1
91.4,73.8,62.4,90.5
101.2,100.3,105.0,97.8
103.8,106.9,111.8,102.9
103.8,101.2,102.0,100.7
92.0,98.8,86.9,96.5
93.9,101.3,94.9,98.0
96.1,99.5,99.3,95.9
103.3,105.6,104.7,105.2
98.2,100.8,96.9,97.6
96.7,91.4,104.2,97.6
96.4,101.0,102.7,98.5
103.5,100.4,114.8,99.1
86.7,72.0,60.2,89.2
105.2,103.3,105.8,101.1
105.3,105.1,108.8,103.9
102.5,96.9,100.0,100.0
95.0,102.5,87.1,99.9
90.0,100.4,90.4,97.4
95.0,100.2,98.9,97.7
108.9,109.7,108.6,109.3
99.5,100.9,100.7,99.3
92.4,89.9,103.5,97.1
105.3,107.5,105.6,102.2
105.2,98.7,117.4,99.3
89.5,76.0,63.5,90.4
106.2,105.3,107.5,102.7
106.2,106.7,107.8,102.9
106.1,102.6,106.2,102.4
95.7,102.1,90.0,99.4
89.6,100.0,90.9,95.7
100.5,102.6,104.1,100.5
106.1,110.3,108.8,108.7
103.9,102.7,100.9,101.0
96.0,96.9,109.6,99.4
109.3,106.4,104.5,102.7
96.5,93.7,110.2,95.9
97.6,79.2,68.3,95.6
108.3,104.1,109.5,103.1
100.5,102.4,107.1,99.8
110.1,106.0,109.2,107.5
97.5,103.8,93.3,101.6
95.9,106.0,97.0,99.9
97.9,99.7,102.7,98.9
115.5,114.4,117.9,112.4
95.8,97.8,94.5,94.9
106.5,100.5,113.6,101.7
105.5,106.4,111.1,104.2
100.5,96.9,115.1,97.0
102.2,80.5,73.1,97.0
108.8,104.7,109.4,104.1
102.8,110.2,113.9,105.6
116.6,111.4,113.3,109.3
100.8,103.7,92.5,99.8
101.8,106.1,104.4,103.6
100.3,103.7,105.5,101.4
112.3,114.7,116.3,110.1
104.7,101.5,100.8,101.1
103.6,96.6,115.9,102.6
111.4,107.5,112.5,103.2
104.8,103.1,117.1,100.8
101.5,81.4,72.2,98.6
104.6,100.6,107.6,101.4
110.1,112.3,118.4,107.7
111.5,109.3,110.2,108.2
94.2,100.5,90.0,98.9
98.4,108.7,103.6,103.0
99.6,103.8,106.4,100.8
107.8,110.8,112.6,111.5
100.3,105.4,100.8,99.2
104.4,102.9,115.2,102.7
95.1,101.6,107.8,99.7
