Belgium,Bulgaria,Czechia,Germany (until 1990 former territory of the FRG),Estonia,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Portugal,Romania,Slovakia,United Kingdom,Turkey
50.6,21.8,50.5,:,27.3,86.4,71.4,60.8,43.6,83.5,52.9,22.4,23.1,24.6,29.9,68.4,:,:,:,9.9,51.2,46.4,:
52.8,24.2,59.6,:,31.6,91.8,77.8,62.6,53.8,88.1,64.3,24.6,26.8,26,37.4,77.8,:,:,:,11.7,55.2,48.8,:
51.5,27.7,57.8,:,31.1,105.8,78,62.7,58.9,84.8,68.2,25.8,26.8,24.6,39.3,80.7,:,:,:,13.4,55,50.7,:
60.7,29.5,62.9,:,33.2,112.3,84.9,71.2,58.1,101.7,66,26.1,28.3,27.7,44.2,77.8,:,:,:,14.9,57.2,51,:
55.7,24.6,55.8,:,32.5,95.8,79.6,65.6,49.3,87.4,59.3,25.2,24.8,27.1,34.8,68.4,:,:,:,14.1,51.2,50.6,:
58.3,27.6,65.7,:,38.4,100.9,85,67.6,62,92.5,71.9,28.8,28.5,27.6,44.5,76.7,:,:,:,17.1,57.4,51.5,:
54.3,30.1,62.9,:,37,114.6,83.1,66.9,66,87.4,75.9,28.3,29,26.5,44.8,81,:,:,:,17,58.6,52.9,:
61.2,30.4,67.9,:,39.1,121.4,90.1,74.5,63.5,103.1,73.9,30.6,32.2,28.4,50.1,76.5,:,:,:,20.1,64.4,52.2,:
57.7,28.9,56.3,:,35.6,103.7,82.8,67.7,55.9,88.2,59.9,27,27.9,27.4,38.1,70.1,:,:,:,18,51.6,51,:
60.3,30.8,64.4,:,43.3,112.1,89.8,69.9,68.8,93.1,73.2,31.8,32.4,28.3,45.8,78.8,:,:,:,21.7,57.9,52.6,:
58.5,34.1,62,:,41.8,124.2,88.9,69.9,76.5,89.1,77.4,32.7,32.6,27.3,46.7,82.9,:,:,:,22.3,59.7,54.7,:
65,36.4,67.3,:,42.9,131.6,96.1,76.6,72.3,106.4,75.6,35.4,35.1,29.8,50.4,76.2,:,:,:,25.1,65,54.5,:
:,32.2,58.7,73.8,39.7,109.9,88,70.4,63.4,90.2,63.2,32.6,30.7,42.1,45.2,69.5,:,:,:,25.3,50,54,:
:,33.7,68.3,78.2,44.4,120,94.2,71.7,80.5,95.1,74.6,36.4,35.7,48.1,54.1,79.6,:,:,:,30.9,55.6,54.1,:
:,38.2,67.9,79.2,46.1,130.4,93.4,71.9,85.7,90.6,79.1,37.6,37.1,45.3,55,80.8,:,:,:,31.9,56.8,56.5,:
:,40.1,73.5,82.6,47.7,137.6,101.7,78.2,80.1,106.6,77.9,40.3,40.8,52,59.4,79,:,:,:,33.7,65.2,57.4,:
67.2,35.6,63.9,75.6,44.7,121.3,93.6,73.3,67.2,92.2,67.7,38.2,35.1,55.4,51.8,71.4,:,:,:,34.4,53.3,56.6,:
70.5,38.6,78,80.7,51.7,132.6,100.6,75.7,83,98,81.8,43,41.5,61.1,62.6,81,:,:,:,40.7,60.9,57.5,:
67.8,45.1,75.2,81.2,51.7,141.2,99.4,74.9,89.3,92.5,86,44.8,42.5,60.4,63.2,82,:,:,:,42.8,63,60.1,:
75.8,50.5,81.6,86.5,53.5,148.8,107.8,81.8,85.2,108.8,84.6,49,46.2,69.9,70.1,81.1,:,:,:,44.5,69.4,60.7,:
71.5,41.2,69.7,77.4,52.5,121.8,98.6,75,69.7,92.4,72.5,49.6,41,66.6,58.9,68,78,79.8,122.7,39.4,60.1,60.9,29.2
75.9,47.7,82.5,84.8,61.5,141.9,108.8,78.7,89.5,98.6,85.4,57.1,49.9,68.7,70.1,79.5,82.6,86.6,135.2,45.2,69.3,62.6,35.5
73,55,80.6,84.9,65.1,151,106.1,77.4,96.5,96.3,89.9,60.5,54,67.7,70.5,84.4,80.7,87.2,131.2,50.3,71.2,65.4,37.9
81.7,59.7,89.4,89.7,67.6,157.6,114.2,84.4,90.9,110.2,88.1,65.9,60,75.2,79.2,78.3,88.6,90.5,142.2,50.8,77.9,67.3,40.5
80.6,47.6,74.9,81.4,62,131.9,107,79.5,78.6,98.6,76.7,61.4,49,74.8,69.3,75,83.7,83.4,124.2,47.2,68.4,68.3,32.4
81.2,56.8,87.6,87.6,74.2,162.3,116.3,82,99.2,105.2,92.1,71.2,57.8,78,79.2,81,88.5,89.4,135.3,55.7,78.8,68.8,42.3
78,65.1,85.8,88.5,76.9,164.4,112.8,80.8,106.5,99.3,99.3,76.2,60.8,74.7,82.9,88,85.7,90.2,137.4,60.6,82.6,71.3,44.4
85.8,68.4,98,95,78.5,169.1,121.9,88.3,101,111.1,94.1,84.1,66.2,84.3,95.4,83.6,93.8,93.7,147.4,69.9,88.5,72,45.9
86.2,56.8,82.8,83.3,80.3,148.6,114.7,83.4,87.6,102.7,86.6,79.2,61.1,79.7,72.3,76.4,90.2,87.1,128.2,61.1,77,73.1,37.7
86.6,66.7,95.2,88.8,92.3,175,122.8,85.8,108.2,107.8,101.6,92.1,71.4,83.3,80.3,86.6,95.5,92.6,140.6,69.4,86.3,74.9,46.4
84.4,76,94,90.1,92.7,173.5,118.8,85.3,117.4,101.5,108.2,96.1,76.2,79.4,82.6,93.4,92.8,92.6,145.4,75.2,87.4,78.2,48.9
91.3,82.3,107.6,96.4,94,184.7,129.4,93.7,112.3,114.5,108.6,95.9,83,87.9,94.9,92.8,103,97.8,158.4,86.3,94.9,82.1,49.9
