Belgium,Bulgaria,Czechia,Denmark,Germany (until 1990 former territory of the FRG),Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,United Kingdom,Iceland,Norway,Turkey,United States,Japan
327,490,499,160,,,88,551,2258,,272,2395,15,167,268,5,278,11,327,190,2740,289,898,68,486,264,287,1611,,79,,6316,3090
314,523,499,137,,109,87,577,2214,,275,2644,16,167,266,5,289,11,336,205,2882,283,900,67,493,284,290,1643,,83,,6285,3270
298,547,484,128,,103,86,545,2160,,279,2657,16,164,266,4,288,11,334,200,2943,265,878,66,493,282,271,1611,,78,,6069,3490
295,560,467,121,,101,91,520,2098,,280,2572,16,159,266,4,278,10,307,160,2902,256,862,67,481,283,261,1552,,75,,5211,3450
283,561,455,118,,90,88,522,2052,,278,2372,15,155,267,4,264,10,300,119,2827,249,851,66,482,322,245,1521,,75,,5459,3290
276,554,428,116,,87,92,496,2042,,273,2426,15,153,270,4,251,9,300,113,2758,242,864,65,499,280,273,1541,,77,,5959,3210
303,558,451,115,,90,91,485,2045,,279,2569,16,153,280,4,247,10,268,118,2711,248,863,66,516,210,262,1584,,81,,6028,3070
323,569,451,121,,99,87,512,2060,,283,2287,15,153,282,4,244,10,269,129,2664,263,867,64,471,219,258,1608,,80,,5864,3100
314,574,429,116,,100,77,497,2074,,291,2097,13,154,279,4,239,10,280,142,2659,271,865,62,456,234,227,1582,,75,,5359,3190
310,583,432,111,,101,71,467,2087,,298,2379,12,155,275,4,235,10,280,135,2666,266,891,62,451,225,223,1523,,70,,5152,3130
295,597,438,111,,103,68,519,2069,,302,2275,15,156,278,4,230,11,275,133,2745,251,886,61,467,224,231,1449,,68,,5336,3100
285,613,421,113,,102,71,510,1983,,301,2222,15,158,285,4,231,11,249,142,2873,259,876,61,488,210,209,1419,,75,,5265,2970
274,643,447,134,,101,73,502,1960,,304,2148,15,161,296,4,241,11,269,159,3074,263,911,63,524,248,291,1438,,80,,6647,3170
265,674,445,132,,95,73,527,1961,,303,2357,13,160,299,4,251,12,272,171,3168,276,892,61,518,248,278,1439,,81,,6524,3180
262,686,418,128,,95,73,497,1924,,299,2356,12,156,297,4,250,12,268,177,3232,272,864,60,514,247,280,1390,,76,,6509,3440
272,703,418,120,,91,75,479,1862,,291,2273,12,149,287,3,240,12,246,164,3240,267,820,57,508,267,264,1320,,73,,6004,3480
269,693,402,115,,88,76,481,1870,,280,2101,12,144,276,3,230,12,241,135,3200,259,795,55,499,304,275,1360,,81,,5901,3470
257,673,403,119,,81,83,456,1836,,270,2159,14,142,270,3,223,11,244,130,3179,257,785,53,509,256,326,1463,,87,,6816,3390
269,668,419,126,,88,89,450,1836,,270,2303,14,141,268,3,223,12,221,130,3145,261,780,56,512,204,263,1539,,88,,6858,3300
281,663,433,141,,86,91,476,1885,,269,2069,12,141,269,3,221,13,225,139,3118,268,792,57,504,207,253,1551,,84,,7016,3370
298,651,421,138,,90,83,462,1889,,273,1919,11,141,274,4,217,13,241,152,3108,274,792,60,490,223,248,1512,,83,,6767,3570
326,653,388,137,,81,80,473,1915,,277,2209,11,147,283,4,214,13,249,149,3103,277,822,65,485,214,258,1489,,82,,7176,3520
324,667,405,134,,84,80,527,1952,,277,2122,13,148,291,4,211,13,253,152,3171,276,839,68,490,226,243,1460,,75,,7617,3500
332,665,417,131,,80,80,520,1964,,283,2062,12,145,296,4,217,13,241,168,3270,278,873,69,499,208,253,1446,,81,,7773,3370
330,686,385,142,,79,83,516,2099,,293,1960,12,137,294,5,232,13,274,195,3434,290,960,71,515,252,283,1443,,85,,9050,3440
325,672,401,130,,79,86,543,2208,,294,2146,11,137,282,4,246,13,292,209,3486,291,964,68,506,242,278,1483,,93,,8823,3560
