Belgium,Bulgaria,Czechia,Denmark,Germany (until 1990 former territory of the FRG),Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,United Kingdom,Iceland,Norway,United States,Japan
163,226,250,79,,,38,325,1269,,136,1221,10,72,113,2,108,4,194,79,1410,124,371,32,212,134,123,644,,32,2848,1170
155,238,263,66,,50,38,351,1262,,138,1403,10,73,111,2,110,4,200,95,1468,122,375,32,213,136,132,669,,33,2744,1230
151,248,253,60,,43,38,329,1241,,139,1411,10,72,111,2,110,4,198,77,1500,115,367,31,213,142,119,644,,30,2850,1320
156,253,244,58,,41,41,316,1203,,138,1349,10,71,112,2,108,3,181,72,1495,111,365,31,211,131,115,607,,28,2436,1390
154,254,252,60,,38,39,317,1179,,138,1325,9,70,113,2,104,3,181,65,1465,110,362,31,216,175,107,594,,31,2719,1330
153,252,231,61,,38,41,293,1181,,135,1312,10,70,114,2,101,3,178,62,1442,105,365,32,226,151,127,630,,36,2967,1270
167,256,243,64,,40,41,303,1192,,138,1362,10,70,118,2,102,3,157,67,1414,110,366,33,235,116,118,649,,40,3079,1170
177,265,246,69,,44,39,317,1182,,141,1321,10,71,120,2,103,4,162,59,1392,118,371,32,223,122,116,672,,42,3064,1210
171,269,230,65,,45,32,291,1206,,145,1121,8,70,118,2,101,4,169,71,1387,124,364,31,216,124,108,674,,37,2676,1260
169,273,237,60,,43,29,290,1208,,149,1321,7,70,117,2,99,4,171,62,1396,121,384,30,214,115,105,641,,32,2452,1200
160,278,240,58,,45,28,316,1191,,152,1288,10,70,117,2,95,4,166,58,1423,112,373,29,218,119,105,585,,30,2530,1170
151,282,225,57,,46,30,296,1113,,150,1149,10,70,118,2,93,4,152,68,1464,118,369,30,221,108,91,539,,32,2243,1080
139,291,232,66,,44,32,296,1100,,151,1129,9,71,120,2,93,4,161,72,1531,120,376,30,229,130,133,538,,36,2861,1240
130,301,242,64,,44,33,320,1094,,151,1288,9,70,120,2,94,4,161,84,1567,130,372,30,224,128,126,554,,35,2804,1250
126,306,226,63,,47,32,300,1079,,150,1278,8,68,120,2,93,4,158,70,1600,127,360,29,221,121,122,556,,34,2818,1350
130,313,217,62,,46,33,291,1054,,147,1202,7,64,117,2,91,4,144,69,1623,125,346,27,219,128,122,527,,31,2650,1350
127,307,218,63,,43,32,292,1058,,142,1169,7,62,114,2,89,4,144,67,1615,119,338,26,219,152,126,539,,36,2724,1360
122,301,221,65,,38,37,269,1046,,137,1159,9,62,113,2,88,4,142,64,1617,115,327,27,226,136,149,576,,38,3205,1310
129,305,227,68,,42,40,274,1052,,137,1212,9,63,115,2,91,4,126,70,1602,119,329,30,230,106,122,611,,41,3328,1270
135,307,227,75,,39,41,287,1063,,137,1185,8,64,117,2,93,5,132,62,1588,115,342,31,228,109,120,628,,41,3434,1340
142,301,235,72,,36,35,263,1076,,140,1016,6,63,118,2,92,5,141,75,1574,119,342,32,222,117,116,620,,41,3326,1450
