Belgium,Bulgaria,Czechia,Denmark,Germany (until 1990 former territory of the FRG),Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,United Kingdom,Iceland,Norway,United States,Japan
163,264,249,81,,,50,225,989,,136,1174,6,94,155,2,169,7,133,111,1330,165,527,36,273,131,164,967,,47,3468,1920
159,285,236,72,,59,48,227,953,,137,1240,6,94,155,2,179,7,136,109,1414,161,524,35,280,149,158,974,,50,3541,2040
148,299,231,68,,60,48,216,920,,140,1247,6,92,155,2,178,7,136,123,1443,151,512,35,280,141,152,967,,48,3219,2170
139,306,223,63,,60,50,204,895,,143,1224,6,88,154,2,170,7,126,88,1407,145,497,36,270,152,146,944,,46,2775,2060
129,307,203,58,,52,49,205,873,,140,1047,6,85,154,2,160,7,119,54,1363,140,489,36,266,147,138,927,,44,2740,1960
124,303,197,55,,49,50,203,860,,138,1114,5,83,156,2,150,6,122,51,1316,137,500,34,273,129,146,911,,41,2992,1940
136,302,207,52,,50,50,182,853,,141,1207,6,83,162,2,145,6,111,51,1297,138,498,33,280,94,143,936,,41,2949,1900
146,304,204,53,,55,49,195,877,,143,967,6,83,163,2,141,7,107,70,1272,145,496,32,248,98,143,936,,39,2800,1890
143,305,199,51,,56,44,206,868,,146,975,5,83,160,2,138,7,111,71,1271,147,501,31,241,110,119,908,,38,2683,1930
141,311,194,51,,58,41,177,878,,148,1059,5,85,159,2,136,7,109,73,1270,145,506,32,238,110,119,882,,38,2700,1930
135,320,198,54,,58,40,203,878,,151,988,5,87,162,2,135,7,109,74,1322,139,513,32,249,105,126,864,,38,2806,1930
134,331,196,57,,56,41,214,870,,151,1073,5,88,167,2,139,7,97,74,1409,140,507,32,266,103,118,880,,43,3022,1890
135,352,215,69,,57,41,205,860,,153,1019,5,90,176,2,149,8,109,87,1543,143,535,32,295,119,158,900,,44,3786,1930
134,372,203,68,,52,40,207,867,,153,1068,5,90,178,2,157,8,110,87,1601,146,520,32,294,121,152,885,,46,3720,1930
136,380,192,65,,48,41,197,845,,150,1078,5,88,178,2,157,8,110,106,1632,145,505,31,293,127,158,834,,42,3691,2090
142,391,201,58,,46,42,189,808,,144,1072,4,85,171,2,149,8,102,95,1617,143,475,30,290,140,142,793,,42,3354,2130
142,386,184,53,,45,43,189,812,,138,932,5,83,162,2,141,8,97,68,1585,140,457,29,280,153,149,821,,45,3177,2110
135,372,182,54,,43,46,187,790,,133,1000,5,80,157,2,135,7,103,65,1563,142,458,27,283,120,177,887,,49,3611,2080
140,362,191,59,,46,49,176,783,,133,1091,5,78,153,2,132,7,95,60,1543,142,451,26,282,99,141,928,,47,3530,2030
146,356,206,66,,47,50,189,822,,132,884,5,77,153,2,128,7,94,77,1530,153,450,26,275,98,134,923,,43,3582,2030
155,350,186,66,,54,48,199,813,,134,903,5,78,156,2,125,7,100,77,1534,155,450,28,268,106,132,891,,42,3441,2120
170,359,179,67,,50,48,190,827,,133,992,5,81,163,2,124,8,103,83,1545,157,454,31,264,110,138,868,,43,3827,2200
167,370,188,68,,49,49,217,843,,131,936,5,81,169,2,123,8,107,89,1605,154,473,33,267,109,132,867,,41,4173,2210
166,372,189,67,,48,49,230,867,,135,1009,5,79,172,2,129,8,100,92,1683,159,498,35,275,105,139,889,,46,4382,2170
